OBJECTID,name,lat,lon,wd_mon_mn,wd_mon_af,wd_mon_ev,wd_mon_nh,wd_tue_mn,wd_tue_af,wd_tue_ev,wd_tue_nh,wd_wed_mn,wd_wed_af,wd_wed_ev,wd_wed_nh,wd_thu_mn,wd_thu_af,wd_thu_ev,wd_thu_nh,wd_fri_mn,wd_fri_af,wd_fri_ev,wd_fri_nh,ss_sat_2h,ss_sat_4h,ss_sat_6h,ss_sat_8h,ss_sat_10h,ss_sat_12h,ss_sat_14h,ss_sat_16h,ss_sat_18h,ss_sat_20h,ss_sat_22h,ss_sat_24h,ss_sun_2h,ss_sun_4h,ss_sun_6h,ss_sun_8h,ss_sun_10h,ss_sun_12h,ss_sun_14h,ss_sun_16h,ss_sun_18h,ss_sun_20h,ss_sun_22h,ss_sun_24h,type,healthy
1557,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),1.327849561,103.8871285,4,3,0,2,4,3,0,2,4,3,0,2,4,3,0,2,4,3,0,2,0,0,1,2,2,2,2,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,hawkercentre,1
1558,Circuit Road Blk 89,1.323445253,103.8854492,4,3,0,2,4,3,0,2,4,3,0,2,4,3,0,2,4,3,0,2,0,0,1,2,2,2,2,0,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,hawkercentre,1
1559,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.314367728,103.7708367,4,5,2,0,4,5,2,0,4,5,2,0,4,5,2,0,4,5,2,0,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,1.5,2,2,2,0,0,0,0,0,hawkercentre,1
1560,Clementi Ave 3 Blk 448,1.31326487,103.7645105,4,5,5,0,4,5,5,0,4,5,5,0,4,5,5,0,4,5,5,0,0,0,0,1,2,2,2,2,2,2,1,0,0,0,0,1,2,2,2,2,2,2,1,0,hawkercentre,1
1561,Clementi West Street 2 Blk 726,1.303781973,103.7642644,4,5,6,2,4,5,6,2,4,5,6,2,4,5,6,2,4,5,6,2,0,0,0,2,2,2,2,2,2,2,2,0.5,0,0,0,2,2,2,2,2,2,2,2,0.5,hawkercentre,1
1562,Commonwealth Crescent Market,1.306892276,103.8003628,0,0,0,0,0,0,0,0,0,5,1,0,0,5,1,0,0,5,1,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,hawkercentre,1
1563,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),1.299713305,103.7978755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hawkercentre,1
1564,Dunman Food Centre,1.309414187,103.9018251,0,0,0,0,4,5,6,1.75,4,5,6,1.75,4,5,6,1.75,4,5,6,1.75,0,0,0,1,2,2,2,2,2,2,2,1.75,0,0,0,1,2,2,2,2,2,2,2,1.75,hawkercentre,1
1565,East Coast Lagoon Food Village,1.306684318,103.9350167,4,5,6,3.5,0,0,6,0.75,0,0,6,0.75,0,0,6,0.75,0,0,6,0.75,0,0,0,0,0,0,0,0,2,2,2,0.75,0,0,2,2,2,2,2,2,2,2,2,0.5,hawkercentre,1
1566,Empress Road Blk 7 (Empress Road Market and Food Centre),1.316245731,103.8056364,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,hawkercentre,1
1567,Eunos Crescent Blk 4A,1.320331782,103.9042609,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,hawkercentre,1
1568,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.32146226,103.8700044,4,5,6,2.75,4,5,6,2.75,4,5,6,2.75,4,5,6,2.75,4,5,6,2.75,0,0,0,2,2,2,2,2,2,2,2,1.75,0,0,0,2,2,2,2,2,2,2,2,1.75,hawkercentre,1
1569,Geylang Serai Market,1.316728148,103.8982243,4,5,5,1,4,5,5,1,4,5,5,1,4,5,5,1,4,5,5,1,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,hawkercentre,1
1570,Golden Mile Food Centre,1.302875481,103.8638832,0,5,4,0,0,5,4,0,0,4,4,0,0,5,4,0,0,5,4,0,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,1,2,2,2,2,0,0,hawkercentre,1
1571,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.315142051,103.8956095,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,hawkercentre,1
1572,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.28797544,103.8296268,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,1.5,2,2,2,2,2,2,2,0.5,0,0,0,1.5,2,2,2,2,2,2,2,0.5,hawkercentre,1
1573,Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.308117759,103.7927738,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,hawkercentre,1
1574,Holland Village Market and Food Centre,1.310908028,103.7948629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hawkercentre,1
1575,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.353837391,103.8900811,4,3,0,1,4,3,0,1,4,3,0,1,4,3,0,1,4,3,0,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,hawkercentre,1
1576,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),1.302418814,103.8839406,4,5,5.5,0,4,5,5.5,0,4,5,5.5,0,4,5,5.5,0,4,5,5.5,0,0,0,0,1,2,2,2,2,2,2,1.5,0,0,0,0,1,2,2,2,2,2,2,1.5,0,hawkercentre,1
1577,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.280004812,103.8260133,4,5,6,2,4,5,6,2,4,5,6,2,4,5,6,2,4,5,6,2,0,0,1,2,2,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,0,hawkercentre,1
1578,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.286952752,103.808128,3,5,6,1,3,5,6,1,3,5,6,1,3,5,6,1,3,5,6,1,0,0,0,0,2,2,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,2,2,2,hawkercentre,1
1579,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),1.288230555,103.8399459,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,hawkercentre,1
1580,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.34531247,103.7315797,4,5,4.5,1,4,5,4.5,1,4,5,4.5,1,4,5,4.5,1,4,5,4.5,1,0,0,0,2,2,2,2,2,2,2,0.5,0,0,0,0,2,2,2,2,2,2,2,0.5,0,hawkercentre,1
1581,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.343442138,103.7377812,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,1,2,2,2,2,2,2,2,1,0,0,0,1,2,2,2,2,2,2,2,1,hawkercentre,1
1582,Jurong West Hawker Centre,1.341259706,103.6974043,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,4,5,6,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,hawkercentre,1
1583,Jurong West Street 52 Blk 505,1.349642243,103.7184475,4,5,5,1,4,5,5,1,4,5,5,1,4,5,5,1,4,5,5,1,0,0,0,2,2,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,2,2,1,0,hawkercentre,1
1584,Kallang Estate Fresh Market and Food Centre,1.30739616,103.8841302,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,4,5,6,1,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,hawkercentre,1
