latitude,longitude,time,id
-6.159976,106.8183329,2024-11-25 09:38:23.898000+07:00,loc_328
-6.1599743,106.8183374,2024-11-25 09:38:24+07:00,loc_329
-6.1599726,106.8183417,2024-11-25 09:38:24.099000+07:00,loc_330
-6.1599708,106.8183462,2024-11-25 09:38:24.199000+07:00,loc_331
-6.1599683,106.8183502,2024-11-25 09:38:24.299000+07:00,loc_332
-6.1599657,106.8183539,2024-11-25 09:38:24.398000+07:00,loc_333
-6.1599633,106.8183583,2024-11-25 09:38:24.498000+07:00,loc_334
-6.1599614,106.8183627,2024-11-25 09:38:24.599000+07:00,loc_335
-6.1599594,106.8183673,2024-11-25 09:38:24.699000+07:00,loc_336
-6.1599572,106.8183717,2024-11-25 09:38:24.799000+07:00,loc_337
-6.159955,106.8183763,2024-11-25 09:38:24.899000+07:00,loc_338
-6.159953,106.8183808,2024-11-25 09:38:25+07:00,loc_339
-6.1599508,106.8183853,2024-11-25 09:38:25.100000+07:00,loc_340
-6.1599484,106.8183899,2024-11-25 09:38:25.200000+07:00,loc_341
-6.159946,106.8183945,2024-11-25 09:38:25.299000+07:00,loc_342
-6.1599438,106.8183992,2024-11-25 09:38:25.399000+07:00,loc_343
-6.1599413,106.818404,2024-11-25 09:38:25.500000+07:00,loc_344
-6.159939,106.8184088,2024-11-25 09:38:25.600000+07:00,loc_345
-6.1599364,106.8184136,2024-11-25 09:38:25.700000+07:00,loc_346
-6.159934,106.8184183,2024-11-25 09:38:25.799000+07:00,loc_347
-6.1599315,106.8184233,2024-11-25 09:38:25.899000+07:00,loc_348
-6.159929,106.8184281,2024-11-25 09:38:26+07:00,loc_349
-6.1599266,106.8184331,2024-11-25 09:38:26.100000+07:00,loc_350
-6.159924,106.8184381,2024-11-25 09:38:26.200000+07:00,loc_351
-6.1599216,106.8184433,2024-11-25 09:38:26.299000+07:00,loc_352
-6.1599191,106.8184484,2024-11-25 09:38:26.399000+07:00,loc_353
-6.1599166,106.8184536,2024-11-25 09:38:26.500000+07:00,loc_354
-6.1599144,106.8184588,2024-11-25 09:38:26.600000+07:00,loc_355
-6.1599117,106.8184643,2024-11-25 09:38:26.700000+07:00,loc_356
-6.1599093,106.8184698,2024-11-25 09:38:26.799000+07:00,loc_357
-6.1599068,106.8184756,2024-11-25 09:38:26.899000+07:00,loc_358
-6.1599044,106.8184812,2024-11-25 09:38:27+07:00,loc_359
-6.1599022,106.8184867,2024-11-25 09:38:27.100000+07:00,loc_360
-6.1598997,106.8184923,2024-11-25 09:38:27.200000+07:00,loc_361
-6.1598973,106.8184981,2024-11-25 09:38:27.299000+07:00,loc_362
-6.1598954,106.8185039,2024-11-25 09:38:27.399000+07:00,loc_363
-6.1598931,106.8185096,2024-11-25 09:38:27.500000+07:00,loc_364
-6.1598912,106.8185157,2024-11-25 09:38:27.600000+07:00,loc_365
-6.1598888,106.8185218,2024-11-25 09:38:27.700000+07:00,loc_366
-6.159886,106.8185279,2024-11-25 09:38:27.799000+07:00,loc_367
-6.1598837,106.818534,2024-11-25 09:38:27.899000+07:00,loc_368
-6.159882,106.8185402,2024-11-25 09:38:28+07:00,loc_369
-6.1598791,106.8185465,2024-11-25 09:38:28.100000+07:00,loc_370
-6.159877,106.8185526,2024-11-25 09:38:28.200000+07:00,loc_371
-6.159875,106.8185592,2024-11-25 09:38:28.299000+07:00,loc_372
