GRID_ID,color
NP-148,#C9D3FE
NQ-148,#C9D3FE
NR-148,#C9D3FE
NS-148,#C9D3FE
NT-148,#C9D3FE
NU-148,#C9D3FE
NV-148,#C9D3FE
NW-148,#C9D3FE
NX-148,#C9D3FE
NY-148,#C9D3FE
NZ-148,#BFBF00
OB-148,#A3FF73
OC-148,#BFBF00
OD-148,#C9D3FE
JZ-147,#C9D3FE
KA-147,#C9D3FE
KB-147,#BFBF00
KQ-147,#C9D3FE
NA-147,#C9D3FE
NB-147,#C9D3FE
NC-147,#FF7F7F
ND-147,#FF7F7F
NE-147,#FF7F7F
NF-147,#C9D3FE
NO-147,#C9D3FE
NP-147,#BFBF00
NQ-147,#A3FF73
NR-147,#A3FF73
NS-147,#BFBF00
NT-147,#C9D3FE
NU-147,#BFBF00
NV-147,#BFBF00
NW-147,#C9D3FE
NY-147,#C9D3FE
NZ-147,#BFBF00
OA-147,#A3FF73
OB-147,#A3FF73
OC-147,#A3FF73
JZ-146,#C9D3FE
KA-146,#BFBF00
KB-146,#C9D3FE
KH-146,#BFBF00
KN-146,#C9D3FE
KO-146,#FF7F7F
KP-146,#C9D3FE
KQ-146,#C9D3FE
LB-146,#FF7F7F
NA-146,#C9D3FE
NB-146,#C9D3FE
NC-146,#FF7F7F
ND-146,#FF7F7F
NE-146,#FF7F7F
NF-146,#FF7F7F
NG-146,#FF7F7F
NH-146,#FF7F7F
NO-146,#A3FF73
NP-146,#BFBF00
NQ-146,#C9D3FE
NR-146,#C9D3FE
NS-146,#BFBF00
NT-146,#C9D3FE
NU-146,#A3FF73
NV-146,#BFBF00
NW-146,#C9D3FE
NX-146,#C9D3FE
OA-146,#C9D3FE
JZ-145,#C9D3FE
KA-145,#C9D3FE
KB-145,#BFBF00
KF-145,#BFBF00
KG-145,#BFBF00
KM-145,#C9D3FE
KN-145,#C9D3FE
KO-145,#FF7F7F
KP-145,#A3FF73
KY-145,#C9D3FE
KZ-145,#FF7F7F
LA-145,#C9D3FE
LB-145,#FF7F7F
LC-145,#FF7F7F
MZ-145,#C9D3FE
NA-145,#BFBF00
NB-145,#FF7F7F
NC-145,#FF7F7F
ND-145,#FF7F7F
NE-145,#FF7F7F
NF-145,#FF7F7F
NG-145,#FF7F7F
NH-145,#FF7F7F
NI-145,#BFBF00
NJ-145,#C9D3FE
NP-145,#A3FF73
NQ-145,#BFBF00
NR-145,#C9D3FE
NS-145,#A3FF73
NT-145,#BFBF00
NU-145,#BFBF00
NV-145,#A3FF73
NW-145,#A3FF73
JZ-144,#C9D3FE
KA-144,#BFBF00
KB-144,#BFBF00
KC-144,#BFBF00
KD-144,#BFBF00
KE-144,#BFBF00
KF-144,#BFBF00
KG-144,#BFBF00
KJ-144,#C9D3FE
KK-144,#BFBF00
KL-144,#A3FF73
KM-144,#A3FF73
KN-144,#BFBF00
KO-144,#C9D3FE
KY-144,#FF7F7F
KZ-144,#FF7F7F
LA-144,#C9D3FE
LB-144,#FF7F7F
LC-144,#FF7F7F
LD-144,#C9D3FE
LE-144,#FF7F7F
LF-144,#FF7F7F
NA-144,#A3FF73
NB-144,#BFBF00
NC-144,#BFBF00
ND-144,#BFBF00
NE-144,#C9D3FE
NF-144,#C9D3FE
NG-144,#FF7F7F
NH-144,#FF7F7F
NI-144,#FF7F7F
NO-144,#A3FF73
NP-144,#A3FF73
NQ-144,#A3FF73
NR-144,#A3FF73
NS-144,#C9D3FE
NT-144,#BFBF00
NU-144,#C9D3FE
NV-144,#C9D3FE
NW-144,#C9D3FE
JZ-143,#C9D3FE
KA-143,#FF7F7F
KB-143,#BFBF00
KD-143,#BFBF00
KE-143,#BFBF00
KF-143,#BFBF00
KG-143,#BFBF00
KI-143,#BFBF00
KJ-143,#BFBF00
KK-143,#C9D3FE
KL-143,#A3FF73
KM-143,#A3FF73
KY-143,#FF7F7F
KZ-143,#BFBF00
LA-143,#FF7F7F
LB-143,#FF7F7F
LC-143,#FF7F7F
LD-143,#FF7F7F
LE-143,#FF7F7F
LF-143,#C9D3FE
LG-143,#C9D3FE
NB-143,#FF7F7F
NC-143,#BFBF00
ND-143,#BFBF00
NE-143,#FF7F7F
NF-143,#FF7F7F
NG-143,#FF7F7F
NH-143,#FF7F7F
NI-143,#FF7F7F
NJ-143,#C9D3FE
NL-143,#C9D3FE
NQ-143,#A3FF73
NS-143,#BFBF00
NT-143,#BFBF00
NU-143,#BFBF00
NV-143,#C9D3FE
NW-143,#A3FF73
DP-142,#BFBF00
KA-142,#BFBF00
KB-142,#BFBF00
KC-142,#FF7F7F
KD-142,#BFBF00
KE-142,#BFBF00
KF-142,#BFBF00
KG-142,#BFBF00
KH-142,#BFBF00
KI-142,#BFBF00
KJ-142,#C9D3FE
KK-142,#BFBF00
KL-142,#A3FF73
KY-142,#BFBF00
KZ-142,#FF7F7F
LA-142,#FF7F7F
LB-142,#C9D3FE
LC-142,#FF7F7F
NB-142,#C9D3FE
NC-142,#BFBF00
ND-142,#BFBF00
NE-142,#BFBF00
NF-142,#C9D3FE
NG-142,#FF7F7F
NI-142,#C9D3FE
NK-142,#C9D3FE
NL-142,#FF7F7F
NO-142,#C9D3FE
NP-142,#C9D3FE
NQ-142,#C9D3FE
NR-142,#C9D3FE
NU-142,#C9D3FE
NV-142,#C9D3FE
DL-141,#C9D3FE
DM-141,#C9D3FE
DN-141,#BFBF00
DO-141,#A3FF73
DP-141,#BFBF00
DQ-141,#C9D3FE
FC-141,#A3FF73
FD-141,#A3FF73
FH-141,#C9D3FE
FI-141,#BFBF00
FJ-141,#C9D3FE
KC-141,#BFBF00
KD-141,#A3FF73
KE-141,#BFBF00
KF-141,#BFBF00
KG-141,#BFBF00
KH-141,#BFBF00
KI-141,#BFBF00
KJ-141,#C9D3FE
KK-141,#BFBF00
KY-141,#C9D3FE
NC-141,#C9D3FE
ND-141,#C9D3FE
NE-141,#FF7F7F
NK-141,#C9D3FE
NL-141,#C9D3FE
NM-141,#C9D3FE
NN-141,#BFBF00
NO-141,#C9D3FE
NP-141,#C9D3FE
NQ-141,#BFBF00
NR-141,#C9D3FE
DL-140,#C9D3FE
DM-140,#C9D3FE
DN-140,#BFBF00
DO-140,#BFBF00
FH-140,#C9D3FE
FI-140,#BFBF00
FJ-140,#C9D3FE
FN-140,#C9D3FE
JZ-140,#A3FF73
KE-140,#C9D3FE
KG-140,#BFBF00
KH-140,#A3FF73
